Book Title,Author,Publication Year,Genres,Summary,Rating Count,Average Rating,Number of Pages,Best Seller,Film,Saga,Preceded by,Followed by
The Joy Luck Club (novel),Amy Tan,1989,['Fiction'],"The Joy Luck Club consists of sixteen interlocking stories about the lives of four Chinese immigrant mothers and their four American-born daughters.[1] In 1949, the four mothers meet at the First Chinese Baptist Church in San Francisco and agree to continue to meet to play mahjong. They call their mahjong group the Joy Luck Club. The stories told in this novel revolve around the Joy Luck Club women and their daughters.  Structurally, the novel is divided into four major sections, with two sections focusing on the stories of the mothers and two sections on the stories of the daughters.
",,,288,False,True,,,
The Hundred Secret Senses,Amy Tan,1995,['Novel'],"The story focuses on the relationship between Chinese-born Kwan and her younger, Chinese-American sister Olivia, who serves as the book's primary narrator. Olivia and Kwan's relationship begins when their father dies and Kwan is sent to live with the family.  Olivia is embarrassed by Kwan because she is unfamiliar with American customs and does not speak English well. She constantly makes a fool of herself, and Olivia is teased by peers for having a ""retarded"" sister.
",,,3581,True,False,,,
Saving Fish from Drowning,Amy Tan,2005,,"The story concerns a group of American tourists travelling the Burma Road from China to Myanmar, and the comic confusions that occur when they are kidnapped by a group of Karen people who believe one of the American teenagers to be a prophesied savior. The Americans, for their part, are not even aware that they are being kidnapped.[4]
",,,474,False,False,,,
The Valley of Amazement,Amy Tan,2013,['Historical fiction'],"In the first part of the story, Violet tells the story of growing up in Hidden Jade Path, a courtesan house in Shanghai that is run by her mother, an American woman named Lulu Minturn. Violet grows up unaware of who her father is and unsure of her mother's feelings for her.[4]
",,,608,False,False,,,
The Chinese Siamese Cat,Amy Tan,1994,"[""Children's book""]",,,,32,False,False,,,
A Time to Kill (Grisham novel),John Grisham,1989,['Legal thriller'],"The story takes place in the fictional town of Clanton, in the equally fictional Ford County, Mississippi. This setting is also featured in other John Grisham novels. A passage in The Chamber reveals that the events of A Time to Kill took place in 1984.[1]
",,,672,True,True,,,Sycamore Row
Sycamore Row,John Grisham,2013,['Legal thriller'],"The title refers to a row of sycamore trees in the countryside near the fictional town of Clanton, in fictional Ford County, Mississippi. The trees play an important role in the book's plot, though the full significance becomes clear only in the end of the novel. It is suggested that these sycamores are very old, having been planted by Native Americans prior to the arrival of European settlers and their stolen, enslaved Africans in what would become the state of Mississippi.
",,,4641,False,True,,A Time to Kill,A Time for Mercy
Rogue Lawyer,John Grisham,2015,['Legal thriller'],"Sebastian Rudd is a street lawyer, but not your typical street lawyer. His office is a black customized bulletproof van, complete with Wi-Fi, a bar, a small fridge, and fine  leather chairs. He has no firm, no partners, and only one employee: his heavily armed driver, who used to be his client, and who also happens to be his bodyguard, law clerk, confidant, golf caddie, and his only friend. Sebastian drinks small-batch bourbon and carries a gun. His beautiful ex-wife is a lawyer too, and she left him for another woman while still they were married. He only gets to see his son for 36 hours per month and his ex-wife wants to stop all visits. He defends people other lawyers won't go near: a drug-addled, tattooed kid rumored to be in a satanic cult who is (falsely) accused of murdering two girls; a vicious crime lord on death row who ends up escaping before Rudd's eyes; a homeowner arrested for shooting at a SWAT team that mistakenly invaded his house, and killed his wife and dogs; a Mixed martial arts fighter previously financed by Rudd who killed a referee after losing a fight. In between these adventures, he's contacted by a serial kidnapper and killer who's involved in human trafficking, and knows the whereabouts of the assistant chief of police's missing daughter.
",,,3521,False,True,,,
The Whistler (novel),John Grisham,2016,['Crime thriller'],"A mysterious source contacts the (fictional) Florida Board on Judicial Conduct, or BJC,[3] promising information that will reveal the identity and crimes of the most corrupt judge in U.S. history. Lacy Stoltz, the BJC's top investigator, is assigned to the case, and takes her sometime-partner, former college football star Hugo Hatch, with her to St. Augustine to meet the source in person. The source is revealed to be a disgraced lawyer from Pensacola named Ramsey Mix, who has been living out of his boat for several years.
",,,3841,False,True,,,
The Judge's List,John Grisham,2021,['Legal thriller novel'],"Three years after the events of The Whistler, Lacy Stolz is tired of her work as an investigator for the Florida Board on Judicial Conduct. But when Jeri Crosby nervously approaches her, Lacy discovers that a sitting judge is a murderer. She's reluctant to get involved, but Jeri is obsessed with bringing the man to justice.  
",,,368,False,True,,,
The Firm (novel),John Grisham,1991,['Legal thriller'],"Mitch McDeere is a graduate of Western Kentucky University with a degree in accounting, who has passed his Certified Public Accountant exam on the first attempt and graduated third in his class at Harvard Law School. Mitch is married to his high-school sweetheart, Abby McDeere, an elementary school teacher who also attended Western Kentucky University. His older brother Ray is imprisoned in Tennessee for manslaughter, and his other brother, Rusty, died in Vietnam. His mother suffers from mental health issues and lives in Florida.
",,,4321,False,True,Mitch McDeereseries,,The Exchange
The Client (novel),John Grisham,1993,,"Boyd Boyette, a United States Senator from Louisiana, goes missing. Because of his vocal opposition to a proposed major toxic landfill project by a company known to be Mafia-backed, murder is suspected. But no body can be found and Roy Foltrigg, United States Attorney in New Orleans, is desperate for a suspect. Barry ""The Blade"" Muldanno, a well-known thug and nephew of Johnny Sulari, acting boss of the New Orleans crime family is suspected. The FBI stalk Muldanno, hoping he'll lead them to the body.
",,,,False,True,,,
The Chamber (novel),John Grisham,1994,['Legal thriller novel'],"In 1967, in Greenville, Mississippi, the office of Jewish lawyer Marvin Kramer is bombed, injuring Kramer and killing his two young sons. Sam Cayhall, a member of the Ku Klux Klan, is identified, arrested and tried for their murders, committed in retaliation for Kramer's involvement in the Civil Rights Movement. Sam's first two trials, engineered by his Klan-connected lawyer, each end in a mistrial. Twenty years later, the FBI pressures a suspected associate to testify against Sam at a third trial. Sam is convicted and sentenced to death by lethal gas. He is sent to the Mississippi State Penitentiary and placed on death row.
",,,496,False,True,,,
